Token,Symbol,Name,exch_seg
18252,SPAL-EQ,SPAL,NSE
19372,SPCENET-EQ,SPCENET,NSE
21401,TATAGOLD-EQ,TATAGOLD,NSE
16927,JOCIL-EQ,JOCIL,NSE
12188,INOXGREEN-EQ,INOXGREEN,NSE
10350,CSLFINANCE-EQ,CSLFINANCE,NSE
4378,SENSEXIETF-EQ,SENSEXIETF,NSE
11581,GULFPETRO-EQ,GULFPETRO,NSE
5265,GLS-EQ,GLS,NSE
19931,ORISSAMINE-EQ,ORISSAMINE,NSE
2028,LYKALABS-EQ,LYKALABS,NSE
2794,RSWM-EQ,RSWM,NSE
11596,LINCOLN-EQ,LINCOLN,NSE
3496,TIRUMALCHM-EQ,TIRUMALCHM,NSE
19646,MAXESTATES-EQ,MAXESTATES,NSE
21383,PALASHSECU-EQ,PALASHSECU,NSE
7451,NIFTY50ADD-EQ,NIFTY50ADD,NSE
8828,GAEL-EQ,GAEL,NSE
24538,MAITHANALL-EQ,MAITHANALL,NSE
5220,BFSI-EQ,BFSI,NSE
9558,AKSHAR-EQ,AKSHAR,NSE
4745,BANKINDIA-EQ,BANKINDIA,NSE
6006,COASTCORP-EQ,COASTCORP,NSE
20321,SHANKARA-EQ,SHANKARA,NSE
2018,LUMAXIND-EQ,LUMAXIND,NSE
3088,INDOSTAR-EQ,INDOSTAR,NSE
2306,BESTAGRO-EQ,BESTAGRO,NSE
13756,SHIVAMAUTO-EQ,SHIVAMAUTO,NSE
4809,KCPSUGIND-EQ,KCPSUGIND,NSE
2275,IRISDOREME-EQ,IRISDOREME,NSE
29553,NIFTYIETF-EQ,NIFTYIETF,NSE
17641,SUNTECK-EQ,SUNTECK,NSE
11647,KOTARISUG-EQ,KOTARISUG,NSE
30089,ORIENTCEM-EQ,ORIENTCEM,NSE
637,CHAMBLFERT-EQ,CHAMBLFERT,NSE
29008,TVSHLTD-EQ,TVSHLTD,NSE
17433,NETWEB-EQ,NETWEB,NSE
13587,ACE-EQ,ACE,NSE
11195,INDIGO-EQ,INDIGO,NSE
5957,BSLSENETFG-EQ,BSLSENETFG,NSE
11355,PTC-EQ,PTC,NSE
11992,SYNCOMF-EQ,SYNCOMF,NSE
154,APCOTEXIND-EQ,APCOTEXIND,NSE
18214,TEXMOPIPES-EQ,TEXMOPIPES,NSE
13147,PVRINOX-EQ,PVRINOX,NSE
928,ELECTCAST-EQ,ELECTCAST,NSE
5407,CARTRADE-EQ,CARTRADE,NSE
4898,FDC-EQ,FDC,NSE
17358,UTKARSHBNK-EQ,UTKARSHBNK,NSE
6156,ARTNIRMAN-EQ,ARTNIRMAN,NSE
212,ASHOKLEY-EQ,ASHOKLEY,NSE
11241,HDFCGROWTH-EQ,HDFCGROWTH,NSE
19458,PLAZACABLE-EQ,PLAZACABLE,NSE
3772,WILLAMAGOR-EQ,WILLAMAGOR,NSE
7374,STAR-EQ,STAR,NSE
3045,SBIN-EQ,SBIN,NSE
10999,MARUTI-EQ,MARUTI,NSE
14618,CHEMBOND-EQ,CHEMBOND,NSE
781,DALMIASUG-EQ,DALMIASUG,NSE
8506,MID150BEES-EQ,MID150BEES,NSE
7325,DCMSRIND-EQ,DCMSRIND,NSE
2664,PIDILITIND-EQ,PIDILITIND,NSE
7361,SETFNIFBK-EQ,SETFNIFBK,NSE
17256,ALBERTDAVD-EQ,ALBERTDAVD,NSE
18151,TVSSCS-EQ,TVSSCS,NSE
13288,AHL-EQ,AHL,NSE
10074,EMAMIPAP-EQ,EMAMIPAP,NSE
3518,TORNTPHARM-EQ,TORNTPHARM,NSE
19686,BLUEJET-EQ,BLUEJET,NSE
14894,CENTRALBK-EQ,CENTRALBK,NSE
6663,SIGACHI-EQ,SIGACHI,NSE
25392,PANAMAPET-EQ,PANAMAPET,NSE
958,ESCORTS-EQ,ESCORTS,NSE
15259,RPOWER-EQ,RPOWER,NSE
10761,SILVERADD-EQ,SILVERADD,NSE
4136,BIOFILCHEM-EQ,BIOFILCHEM,NSE
3827,ZUARIIND-EQ,ZUARIIND,NSE
23447,181NSETEST-EQ,181NSETEST,NSE
1570,GMMPFAUDLR-EQ,GMMPFAUDLR,NSE
14767,081NSETEST-EQ,081NSETEST,NSE
6836,FOCUS-EQ,FOCUS,NSE
18566,RRKABEL-EQ,RRKABEL,NSE
4566,RUCHINFRA-EQ,RUCHINFRA,NSE
4487,ALKYLAMINE-EQ,ALKYLAMINE,NSE
4160,NORBTEAEXP-EQ,NORBTEAEXP,NSE
10588,SHREEPUSHK-EQ,SHREEPUSHK,NSE
8842,UMAEXPORTS-EQ,UMAEXPORTS,NSE
3475,THERMAX-EQ,THERMAX,NSE
5382,EPIGRAL-EQ,EPIGRAL,NSE
21362,SALASAR-EQ,SALASAR,NSE
11538,HDFCMOMENT-EQ,HDFCMOMENT,NSE
15073,BVCL-EQ,BVCL,NSE
25608,INDOTHAI-EQ,INDOTHAI,NSE
18908,PNBHOUSING-EQ,PNBHOUSING,NSE
15254,CEATLTD-EQ,CEATLTD,NSE
5622,ITDCEM-EQ,ITDCEM,NSE
10634,ASAL-EQ,ASAL,NSE
742,COSMOFIRST-EQ,COSMOFIRST,NSE
14440,NAHARSPING-EQ,NAHARSPING,NSE
11287,UPL-EQ,UPL,NSE
10578,MPSLTD-EQ,MPSLTD,NSE
11895,DCXINDIA-EQ,DCXINDIA,NSE
14707,TIMETECHNO-EQ,TIMETECHNO,NSE
277,GICRE-EQ,GICRE,NSE
34,ADORWELD-EQ,ADORWELD,NSE
17272,SETFGOLD-EQ,SETFGOLD,NSE
676,EXIDEIND-EQ,EXIDEIND,NSE
14828,WSI-EQ,WSI,NSE
14233,HDFCSML250-EQ,HDFCSML250,NSE
1593,MGEL-EQ,MGEL,NSE
22377,MAXHEALTH-EQ,MAXHEALTH,NSE
30125,IBULHSGFIN-EQ,IBULHSGFIN,NSE
3703,VIPIND-EQ,VIPIND,NSE
14296,SEQUENT-EQ,SEQUENT,NSE
2711,PRECOT-EQ,PRECOT,NSE
16249,INFIBEAM-EQ,INFIBEAM,NSE
13688,ACLGATI-EQ,ACLGATI,NSE
2716,BUTTERFLY-EQ,BUTTERFLY,NSE
18244,DEEPENR-EQ,DEEPENR,NSE
20182,ASHOKA-EQ,ASHOKA,NSE
25358,PGEL-EQ,PGEL,NSE
19224,SENSEXETF-EQ,SENSEXETF,NSE
445,5PAISA-EQ,5PAISA,NSE
1597,INGERRAND-EQ,INGERRAND,NSE
11809,IIFL-EQ,IIFL,NSE
14008,AVTNPL-EQ,AVTNPL,NSE
4934,IPL-EQ,IPL,NSE
19111,NBIFIN-EQ,NBIFIN,NSE
3607,UNIVCABLES-EQ,UNIVCABLES,NSE
17927,BAYERCROP-EQ,BAYERCROP,NSE
6417,KRITI-EQ,KRITI,NSE
15121,SVLL-EQ,SVLL,NSE
20877,PSPPROJECT-EQ,PSPPROJECT,NSE
17675,ALOKINDS-EQ,ALOKINDS,NSE
23806,ABSLPSE-EQ,ABSLPSE,NSE
1164,NEWGEN-EQ,NEWGEN,NSE
19235,IMFA-EQ,IMFA,NSE
8687,MUKTAARTS-EQ,MUKTAARTS,NSE
9741,PARADEEP-EQ,PARADEEP,NSE
8654,MOLOWVOL-EQ,MOLOWVOL,NSE
7880,AUTOBEES-EQ,AUTOBEES,NSE
3387,SMLISUZU-EQ,SMLISUZU,NSE
11919,MSPL-EQ,MSPL,NSE
20830,MOIL-EQ,MOIL,NSE
10530,SHARDAMOTR-EQ,SHARDAMOTR,NSE
817,DCW-EQ,DCW,NSE
19277,EMAMIREAL-EQ,EMAMIREAL,NSE
6262,SELMC-EQ,SELMC,NSE
6711,IVC-EQ,IVC,NSE
1491,IFCI-EQ,IFCI,NSE
7196,BBETF0432-EQ,BBETF0432,NSE
15085,SILVERETF-EQ,SILVERETF,NSE
2388,NELCO-EQ,NELCO,NSE
2988,SANDESH-EQ,SANDESH,NSE
12841,11NSETEST-EQ,11NSETEST,NSE
913,EQUITASBNK-EQ,EQUITASBNK,NSE
4422,INDIANCARD-EQ,INDIANCARD,NSE
17187,CYIENTDLM-EQ,CYIENTDLM,NSE
14304,FSL-EQ,FSL,NSE
7376,HPAL-EQ,HPAL,NSE
22670,RPTECH-EQ,RPTECH,NSE
10568,RAMAPHO-EQ,RAMAPHO,NSE
2263,BANDHANBNK-EQ,BANDHANBNK,NSE
104,SHAREINDIA-EQ,SHAREINDIA,NSE
919,EIHOTEL-EQ,EIHOTEL,NSE
31107,DBSTOCKBRO-EQ,DBSTOCKBRO,NSE
10876,HDFCSILVER-EQ,HDFCSILVER,NSE
11060,KSOLVES-EQ,KSOLVES,NSE
13175,NITINSPIN-EQ,NITINSPIN,NSE
24014,BOROSCI-EQ,BOROSCI,NSE
14745,ADVANIHOTR-EQ,ADVANIHOTR,NSE
17875,GODREJPROP-EQ,GODREJPROP,NSE
15039,CERA-EQ,CERA,NSE
2406,NEULANDLAB-EQ,NEULANDLAB,NSE
17197,PAKKA-EQ,PAKKA,NSE
19279,THEJO-EQ,THEJO,NSE
1313,HARRMALAYA-EQ,HARRMALAYA,NSE
2595,3PLAND-EQ,3PLAND,NSE
9039,UFO-EQ,UFO,NSE
20788,MOTISONS-EQ,MOTISONS,NSE
4992,SHARDACROP-EQ,SHARDACROP,NSE
21840,DIAMONDYD-EQ,DIAMONDYD,NSE
1214,DELTAMAGNT-EQ,DELTAMAGNT,NSE
13643,ELECON-EQ,ELECON,NSE
15414,TITAGARH-EQ,TITAGARH,NSE
13656,ALICON-EQ,ALICON,NSE
2303,HAL-EQ,HAL,NSE
6286,GULPOLY-EQ,GULPOLY,NSE
14932,ISMTLTD-EQ,ISMTLTD,NSE
18118,THANGAMAYL-EQ,THANGAMAYL,NSE
24184,PIIND-EQ,PIIND,NSE
1480,REPL-EQ,REPL,NSE
11253,WELSPUNLIV-EQ,WELSPUNLIV,NSE
3880,SOMANYCERA-EQ,SOMANYCERA,NSE
15377,PDMJEPAPER-EQ,PDMJEPAPER,NSE
48,HAPPSTMNDS-EQ,HAPPSTMNDS,NSE
17704,QUESS-EQ,QUESS,NSE
263,ATUL-EQ,ATUL,NSE
13270,JKCEMENT-EQ,JKCEMENT,NSE
17541,DAMODARIND-EQ,DAMODARIND,NSE
11779,ACEINTEG-EQ,ACEINTEG,NSE
10726,INDIAMART-EQ,INDIAMART,NSE
14334,HSCL-EQ,HSCL,NSE
24081,TOP100CASE-EQ,TOP100CASE,NSE
22602,PFS-EQ,PFS,NSE
14086,IGPL-EQ,IGPL,NSE
14064,ASMS-EQ,ASMS,NSE
17801,LLOYDSENGG-EQ,LLOYDSENGG,NSE
22980,MUKKA-EQ,MUKKA,NSE
12101,HDFCNIFIT-EQ,HDFCNIFIT,NSE
9385,PNCINFRA-EQ,PNCINFRA,NSE
11399,SALZERELEC-EQ,SALZERELEC,NSE
23489,BHARTIHEXA-EQ,BHARTIHEXA,NSE
4594,KOTHARIPET-EQ,KOTHARIPET,NSE
6302,APOLSINHOT-EQ,APOLSINHOT,NSE
1143,SDL24BEES-EQ,SDL24BEES,NSE
24226,STANLEY-EQ,STANLEY,NSE
2496,ORIENTPPR-EQ,ORIENTPPR,NSE
17635,ZYDUSWELL-EQ,ZYDUSWELL,NSE
1315,GALAXYSURF-EQ,GALAXYSURF,NSE
9046,AGROPHOS-EQ,AGROPHOS,NSE
3724,VSTIND-EQ,VSTIND,NSE
10447,UNITDSPR-EQ,UNITDSPR,NSE
14599,GSLSU-EQ,GSLSU,NSE
23480,SINCLAIR-EQ,SINCLAIR,NSE
