Token,Symbol,Name,exch_seg
21901,655KL30-SG,655KL30,NSE
18252,SPAL-EQ,SPAL,NSE
19372,SPCENET-EQ,SPCENET,NSE
21401,TATAGOLD-EQ,TATAGOLD,NSE
16927,JOCIL-EQ,JOCIL,NSE
12188,INOXGREEN-EQ,INOXGREEN,NSE
10313,AURUM-BL,AURUM,NSE
10350,CSLFINANCE-EQ,CSLFINANCE,NSE
13800,MANALIPETC-BL,MANALIPETC,NSE
27070,VSSL-BL,VSSL,NSE
4378,SENSEXIETF-EQ,SENSEXIETF,NSE
11581,GULFPETRO-EQ,GULFPETRO,NSE
573,FELIX-SM,FELIX,NSE
5265,GLS-EQ,GLS,NSE
14087,763JH30-SG,763JH30,NSE
13634,SKYGOLD-BE,SKYGOLD,NSE
6209,604GJ26-SG,604GJ26,NSE
10357,783AS32-SG,783AS32,NSE
19931,ORISSAMINE-EQ,ORISSAMINE,NSE
4323,GS171225C-GS,GS171225C,NSE
13112,757AS32-SG,757AS32,NSE
22105,575TN25-SG,575TN25,NSE
7693,71KA32-SG,71KA32,NSE
2028,LYKALABS-EQ,LYKALABS,NSE
12121,AARTISURF-P1,AARTISURF,NSE
13672,SFMP74GD-MF,SFMP74GD,NSE
14558,774MZ38-SG,774MZ38,NSE
6727,MOLDTKPAC-BL,MOLDTKPAC,NSE
22150,715WB35-SG,715WB35,NSE
5333,699GA31B-SG,699GA31B,NSE
16997,739TS51-SG,739TS51,NSE
7714,719PN37-SG,719PN37,NSE
21941,714MH29-SG,714MH29,NSE
14205,HUBTOWN-BL,HUBTOWN,NSE
23425,746AP44-SG,746AP44,NSE
23972,98IHFL34-ZS,98IHFL34,NSE
24277,VISAMAN-ST,VISAMAN,NSE
2935,861REC34-ND,861REC34,NSE
2794,RSWM-EQ,RSWM,NSE
11596,LINCOLN-EQ,LINCOLN,NSE
8887,TNIDETF-BL,TNIDETF,NSE
21914,716KL30-SG,716KL30,NSE
8138,732AS32-SG,732AS32,NSE
16092,729KL49-SG,729KL49,NSE
3496,TIRUMALCHM-EQ,TIRUMALCHM,NSE
24012,743AP44-SG,743AP44,NSE
1991,863IRFC29-NC,863IRFC29,NSE
4891,694UK31-SG,694UK31,NSE
12609,WELENT-BL,WELENT,NSE
19646,MAXESTATES-EQ,MAXESTATES,NSE
8188,PEARLPOLY-BE,PEARLPOLY,NSE
25194,TECHIN-BE,TECHIN,NSE
21383,PALASHSECU-EQ,PALASHSECU,NSE
7451,NIFTY50ADD-EQ,NIFTY50ADD,NSE
13837,DONEAR-BL,DONEAR,NSE
8394,SHIGAN-SM,SHIGAN,NSE
